Year,OBS_STATUS,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Custom Breakdown,Composite breakdown,Unit of measure,Observation status,Nature of data points,Observation-level footnotes,Source details,Label for custom breakdown,Value
2000,M,N,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 01,Land Cover: Artificial surfaces,Square kilometers,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2005,M,N,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 01,Land Cover: Artificial surfaces,Square kilometers,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2010,M,N,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 01,Land Cover: Artificial surfaces,Square kilometers,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2015,M,N,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 01,Land Cover: Artificial surfaces,Square kilometers,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2018,M,N,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 01,Land Cover: Artificial surfaces,Square kilometers,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2021,M,N,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 01,Land Cover: Artificial surfaces,Square kilometers,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2000,M,N,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 01,Land Cover: Croplands,Square kilometers,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2005,M,N,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 01,Land Cover: Croplands,Square kilometers,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2010,M,N,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 01,Land Cover: Croplands,Square kilometers,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2015,M,N,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 01,Land Cover: Croplands,Square kilometers,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2018,M,N,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 01,Land Cover: Croplands,Square kilometers,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2021,M,N,NaN = Not relevant,NA,Mountain green cover area (square kilometres) [15.4.2],Custom code 01,Land Cover: Croplands,Square kilometers,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
